PersonsID,UniversityID,degree
2,1.0,
4,2.0,
5,1.0,
7,4.0,BS
7,1.0,MBA
9,6.0,MBA
9,7.0,
10,8.0,
11,8.0,
12,1.0,
13,1.0,B.S.
14,2.0,
15,2.0,BA
