ID,name
1,Libra Networks
2,Portal
3,Watch
4,Internet.org
5,Messenger
6,Snapcash
7,Snapkidz
8,Samsung Gear VR
9,Oculus
10,Oculus Rift CV1
11,Oculus Go
12,Oculus Rift S
13,Oculus Quest
14,Oculus Medium
15,Search engine
16,Social networking
17,instant messaging
18,mass media
19,web portals
20,e-commerce
21,web browser
22,antivirus software
23,artificial intelligence
24,music
25,payment system
26,film production
27,video games
28,online services
29,Snapchat
30,Spectacles
31,Bitmoji
