CompanyID,ProductID
1,1
1,2
1,3
1,4
1,5
6,6
6,7
12,8
12,9
12,10
12,11
12,12
12,13
12,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
15,29
15,30
15,31
