CompanyID,IndustryID
1,23
1,2
2,3
2,23
3,5
3,6
4,7
6,8
6,22
6,10
6,11
7,22
7,13
8,18
8,15
8,16
8,17
10,18
10,19
10,6
11,21
12,22
12,23
14,24
14,23
